"Date","Sales USD"
"2019-01-27",20018.81
"2019-01-28",30570.26
"2019-01-29",3391.91
"2019-01-30",6919.37
"2019-01-31",10092.61
"2019-02-01",5072.77
"2019-02-02",17304.3
"2019-02-03",11350.28
"2019-02-04",16644.79
"2019-02-05",32522.91
"2019-02-06",25984.66
"2019-02-07",14343.49
"2019-02-08",6454.17
"2019-02-09",0
"2019-02-10",31261.09
"2019-02-11",23408.37
"2019-02-12",5917.62
"2019-02-13",1546.75
"2019-02-14",8093.6
"2019-02-15",16068.85
"2019-02-16",6359.81
"2019-02-17",15909.87
"2019-02-18",7939.83
"2019-02-19",30085.59
"2019-02-20",8594.63
"2019-02-21",19014.87
"2019-02-22",6119.13
"2019-02-23",6967.24
"2019-02-24",3669.12
"2019-02-25",16424.78
"2019-02-26",24021.74
"2019-02-27",23453.65
"2019-02-28",19916.08
"2019-03-01",21041.01
"2019-03-02",33018.56
"2019-03-03",10887.62
"2019-03-04",42758.01
"2019-03-05",30270
"2019-03-06",13660.55
"2019-03-07",8539.06
"2019-03-08",17075.59
"2019-03-09",21842.03
"2019-03-10",36909.14
"2019-03-11",21868.65
"2019-03-12",72931.49
"2019-03-13",20291.78
"2019-03-14",48658.66
"2019-03-15",28066.48
"2019-03-16",7479.82
"2019-03-17",35142.56
"2019-03-18",4849.69
"2019-03-19",8764.46
"2019-03-20",14228.6
"2019-03-21",9031.07
"2019-03-22",6526.06
"2019-03-23",15279.13
"2019-03-24",45675.59
"2019-03-25",25689.82
"2019-03-26",14248.33
"2019-03-27",11577.14
"2019-03-28",73343.16
"2019-03-29",6651.95
"2019-03-30",5892.24
"2019-03-31",13809.22
"2019-04-01",31737.59
"2019-04-02",51230.98
"2019-04-03",15453.01
"2019-04-04",24644.48
"2019-04-05",22730.49
"2019-04-06",7615.34
"2019-04-07",12097.89
"2019-04-08",13872.63
"2019-04-09",21857.64
"2019-04-10",12350.56
"2019-04-11",10491.03
"2019-04-12",16532.52
"2019-04-13",18460.93
"2019-04-14",11161.05
"2019-04-15",4104.45
"2019-04-16",12017.41
"2019-04-17",2861.73
"2019-04-18",6972.31
"2019-04-19",7711.44
"2019-04-20",3522.17
"2019-04-21",15492.87
"2019-04-22",2144.43
"2019-04-23",7379.19
"2019-04-24",19929.76
"2019-04-25",18608.51
"2019-04-26",15566.44
"2019-04-27",38598.93
"2019-04-28",12655.48
"2019-04-29",6301.71
"2019-04-30",2435.8
"2019-05-01",5610.11
"2019-05-02",31240.12
"2019-05-03",14821.69
"2019-05-04",7698.51
"2019-05-05",16932.57
"2019-05-06",3101.28
"2019-05-07",4701.35
"2019-05-08",12271.51
"2019-05-09",5418.13
"2019-05-10",17455.22
"2019-05-11",12825.43
"2019-05-12",14553.45
"2019-05-13",20530.29
"2019-05-14",7553.6
"2019-05-15",6535.19
"2019-05-16",7464.73
"2019-05-17",44474.46
"2019-05-18",11767.18
"2019-05-19",7865.34
