"Date","Number of Sales (7-day)"
"2020-06-05",731
"2020-06-06",790
"2020-06-07",816
"2020-06-08",860
"2020-06-09",836
"2020-06-10",805
"2020-06-11",840
"2020-06-12",808
"2020-06-13",768
"2020-06-14",757
"2020-06-15",689
"2020-06-16",703
"2020-06-17",693
"2020-06-18",668
"2020-06-19",703
"2020-06-20",744
"2020-06-21",718
"2020-06-22",771
"2020-06-23",749
"2020-06-24",753
"2020-06-25",720
"2020-06-26",667
"2020-06-27",636
"2020-06-28",643
"2020-06-29",674
"2020-06-30",665
"2020-07-01",677
"2020-07-02",717
"2020-07-03",702
"2020-07-04",675
"2020-07-05",632
"2020-07-06",580
"2020-07-07",579
"2020-07-08",554
"2020-07-09",542
"2020-07-10",582
"2020-07-11",623
"2020-07-12",681
"2020-07-13",714
"2020-07-14",714
"2020-07-15",746
"2020-07-16",769
"2020-07-17",790
"2020-07-18",782
"2020-07-19",829
"2020-07-20",826
"2020-07-21",875
"2020-07-22",908
"2020-07-23",998
"2020-07-24",1049
"2020-07-25",1097
"2020-07-26",1076
"2020-07-27",1065
"2020-07-28",1060
"2020-07-29",1055
"2020-07-30",958
"2020-07-31",931
"2020-08-01",915
"2020-08-02",879
"2020-08-03",871
"2020-08-04",899
"2020-08-05",905
"2020-08-06",929
"2020-08-07",923
"2020-08-08",910
"2020-08-09",929
"2020-08-10",943
"2020-08-11",898
"2020-08-12",831
"2020-08-13",783
"2020-08-14",760
"2020-08-15",795
"2020-08-16",790
"2020-08-17",811
"2020-08-18",841
"2020-08-19",879
"2020-08-20",892
"2020-08-21",852
"2020-08-22",785
"2020-08-23",775
"2020-08-24",742
"2020-08-25",692
"2020-08-26",692
"2020-08-27",688
"2020-08-28",749
"2020-08-29",802
"2020-08-30",764
"2020-08-31",698
"2020-09-01",632
"2020-09-02",556
"2020-09-03",494
"2020-09-04",461
"2020-09-05",367
"2020-09-06",432
"2020-09-07",511
"2020-09-08",631
"2020-09-09",822
"2020-09-10",1049
"2020-09-11",1190
"2020-09-12",1380
"2020-09-13",1474
"2020-09-14",1528
"2020-09-15",1753
"2020-09-16",1819
"2020-09-17",1596
"2020-09-18",1518
"2020-09-19",1598
"2020-09-20",1675
"2020-09-21",1745
"2020-09-22",1641
"2020-09-23",1663
"2020-09-24",1927
"2020-09-25",2016
"2020-09-26",1952
"2020-09-27",2056
"2020-09-28",2166
"2020-09-29",2178
"2020-09-30",2124
"2020-10-01",2085
"2020-10-02",2100
"2020-10-03",2252
"2020-10-04",2163
"2020-10-05",2088
"2020-10-06",2045
"2020-10-07",2004
"2020-10-08",2056
"2020-10-09",2051
"2020-10-10",1961
"2020-10-11",2057
"2020-10-12",2196
"2020-10-13",2265
"2020-10-14",2463
"2020-10-15",2546
"2020-10-16",2598
"2020-10-17",2536
"2020-10-18",2415
"2020-10-19",2266
"2020-10-20",2193
"2020-10-21",2017
"2020-10-22",1824
"2020-10-23",1713
"2020-10-24",1731
"2020-10-25",1764
"2020-10-26",1700
"2020-10-27",1662
"2020-10-28",1569
"2020-10-29",1540
"2020-10-30",1596
"2020-10-31",1537
"2020-11-01",1437
"2020-11-02",1450
"2020-11-03",1440
"2020-11-04",1463
"2020-11-05",1456
"2020-11-06",1387
"2020-11-07",1341
"2020-11-08",1307
"2020-11-09",1248
"2020-11-10",1233
"2020-11-11",1201
"2020-11-12",1233
