"Date","Sales USD"
"2019-03-23",3899.6
"2019-03-24",128.27
"2019-03-25",2746.14
"2019-03-26",243.21
"2019-03-27",790.82
"2019-03-28",1784.62
"2019-03-29",4337.21
"2019-03-30",6009.4
"2019-03-31",110.84
"2019-04-01",863.8
"2019-04-02",8902.75
"2019-04-03",3283.04
"2019-04-04",10216.92
"2019-04-05",50.62
"2019-04-06",3986.81
"2019-04-07",61.07
"2019-04-08",5640.93
"2019-04-09",0
"2019-04-10",1.91
"2019-04-11",55.16
"2019-04-12",799.45
"2019-04-13",684.26
"2019-04-14",628.38
"2019-04-15",3539.37
"2019-04-16",14735.75
"2019-04-17",0.62
"2019-04-18",8.32
"2019-04-19",109.13
"2019-04-20",347.06
"2019-04-21",366.58
"2019-04-22",33.53
"2019-04-23",42.76
"2019-04-24",10935.77
"2019-04-25",369.84
"2019-04-26",55.33
"2019-04-27",60.43
"2019-04-28",3123.7
"2019-04-29",2617.55
"2019-04-30",168968.82
"2019-05-01",225.94
"2019-05-02",158.04
"2019-05-03",74.83
"2019-05-04",2053.21
"2019-05-05",1573.51
"2019-05-06",1756.22
"2019-05-07",1981.94
"2019-05-08",8357.97
"2019-05-09",1200.56
"2019-05-10",19405.55
"2019-05-11",716.36
"2019-05-12",8213.05
"2019-05-13",1135.9
"2019-05-14",828.28
"2019-05-15",2040.65
"2019-05-16",4484.09
"2019-05-17",599.03
"2019-05-18",708.63
"2019-05-19",691.22
"2019-05-20",633.88
"2019-05-21",1113.02
"2019-05-22",505.29
"2019-05-23",595.79
"2019-05-24",1008.23
"2019-05-25",590.08
"2019-05-26",586.36
"2019-05-27",1729.32
"2019-05-28",5230.15
"2019-05-29",4583.1
"2019-05-30",533.52
"2019-05-31",1021.11
"2019-06-01",472.66
"2019-06-02",4660.5
"2019-06-03",1959.14
"2019-06-04",1961.4
"2019-06-05",1139.59
"2019-06-06",763.55
"2019-06-07",16505.75
"2019-06-08",609.06
"2019-06-09",797.86
"2019-06-10",386.1
"2019-06-11",711.02
"2019-06-12",26107.48
"2019-06-13",5245.81
"2019-06-14",6811.33
