"Date","Number of Sales (7-day)"
"2019-11-06",2066
"2019-11-07",3962
"2019-11-08",4734
"2019-11-09",5374
"2019-11-10",5815
"2019-11-11",6407
"2019-11-12",7138
"2019-11-13",6627
"2019-11-14",5208
"2019-11-15",4833
"2019-11-16",4496
"2019-11-17",4139
"2019-11-18",3784
"2019-11-19",3452
"2019-11-20",3052
"2019-11-21",2805
"2019-11-22",2454
"2019-11-23",2329
"2019-11-24",2384
"2019-11-25",2246
"2019-11-26",1914
"2019-11-27",1741
"2019-11-28",1620
"2019-11-29",1638
"2019-11-30",1553
"2019-12-01",1476
"2019-12-02",1531
"2019-12-03",1525
"2019-12-04",1508
"2019-12-05",1550
"2019-12-06",1546
"2019-12-07",1574
"2019-12-08",1611
"2019-12-09",1542
"2019-12-10",1686
"2019-12-11",1608
"2019-12-12",1459
"2019-12-13",1605
"2019-12-14",1551
"2019-12-15",1440
"2019-12-16",1395
"2019-12-17",1234
"2019-12-18",1234
"2019-12-19",1303
"2019-12-20",1068
"2019-12-21",958
"2019-12-22",914
"2019-12-23",898
"2019-12-24",823
"2019-12-25",782
"2019-12-26",751
"2019-12-27",801
"2019-12-28",853
"2019-12-29",869
"2019-12-30",854
"2019-12-31",912
"2020-01-01",869
"2020-01-02",1058
"2020-01-03",1072
"2020-01-04",1059
"2020-01-05",1027
"2020-01-06",988
"2020-01-07",1035
"2020-01-08",1057
"2020-01-09",837
"2020-01-10",813
"2020-01-11",822
"2020-01-12",819
"2020-01-13",809
"2020-01-14",709
"2020-01-15",701
"2020-01-16",714
"2020-01-17",650
"2020-01-18",655
"2020-01-19",789
"2020-01-20",868
"2020-01-21",965
"2020-01-22",949
"2020-01-23",949
"2020-01-24",1018
"2020-01-25",951
"2020-01-26",773
"2020-01-27",701
"2020-01-28",667
"2020-01-29",658
"2020-01-30",588
"2020-01-31",530
"2020-02-01",683
"2020-02-02",808
"2020-02-03",775
"2020-02-04",638
"2020-02-05",586
"2020-02-06",556
"2020-02-07",532
"2020-02-08",341
"2020-02-09",197
"2020-02-10",470
"2020-02-11",817
"2020-02-12",1004
"2020-02-13",1069
"2020-02-14",1111
"2020-02-15",1220
"2020-02-16",1278
"2020-02-17",1093
"2020-02-18",821
"2020-02-19",729
"2020-02-20",733
"2020-02-21",796
"2020-02-22",818
"2020-02-23",858
"2020-02-24",860
"2020-02-25",911
"2020-02-26",995
"2020-02-27",1022
"2020-02-28",998
"2020-02-29",1052
"2020-03-01",1213
"2020-03-02",1469
"2020-03-03",1573
"2020-03-04",1494
"2020-03-05",1498
"2020-03-06",1490
"2020-03-07",1435
"2020-03-08",1280
"2020-03-09",941
"2020-03-10",796
"2020-03-11",813
"2020-03-12",695
"2020-03-13",609
"2020-03-14",531
"2020-03-15",558
"2020-03-16",609
"2020-03-17",592
"2020-03-18",547
"2020-03-19",597
"2020-03-20",689
"2020-03-21",806
"2020-03-22",760
"2020-03-23",742
"2020-03-24",735
"2020-03-25",736
"2020-03-26",732
"2020-03-27",651
"2020-03-28",564
"2020-03-29",535
"2020-03-30",505
"2020-03-31",512
"2020-04-01",497
"2020-04-02",515
"2020-04-03",582
"2020-04-04",611
"2020-04-05",627
"2020-04-06",649
"2020-04-07",677
"2020-04-08",739
"2020-04-09",796
"2020-04-10",740
"2020-04-11",709
"2020-04-12",712
"2020-04-13",806
"2020-04-14",935
"2020-04-15",1051
"2020-04-16",1008
"2020-04-17",1110
"2020-04-18",1178
"2020-04-19",1286
"2020-04-20",1238
"2020-04-21",1228
"2020-04-22",1170
"2020-04-23",1278
"2020-04-24",1295
"2020-04-25",1335
"2020-04-26",1349
"2020-04-27",1340
"2020-04-28",1228
"2020-04-29",1166
"2020-04-30",1066
"2020-05-01",1074
"2020-05-02",1137
"2020-05-03",1205
"2020-05-04",1288
"2020-05-05",1411
"2020-05-06",1416
"2020-05-07",1392
"2020-05-08",1371
"2020-05-09",1211
"2020-05-10",1004
"2020-05-11",867
"2020-05-12",724
"2020-05-13",692
"2020-05-14",673
"2020-05-15",613
"2020-05-16",687
"2020-05-17",764
"2020-05-18",788
"2020-05-19",794
"2020-05-20",829
"2020-05-21",850
"2020-05-22",838
"2020-05-23",770
